time,gForce
11732,1.04
11756,1.04
11783,1.04
11807,1.04
11831,1.04
11855,1.04
11879,1.03
11903,1.05
11927,1.03
11951,1.04
11975,1.04
11999,1.04
12023,1.03
12047,1.04
12071,1.04
12095,1.06
12119,1.05
12143,1.04
12167,1.04
12191,1.04
12215,1.07
12239,1.06
12263,0.99
12287,1.08
12311,1.05
12335,1.06
12359,1.03
12383,1.04
12407,1.06
12431,1.04
12455,1.08
12479,1.08
12503,1.04
12527,1.10
12551,1.09
12575,1.05
12621,1.08
12645,1.08
12669,1.05
12693,1.01
12717,0.96
12741,0.93
12765,0.91
12789,0.89
12816,0.92
12840,0.96
12864,0.98
12888,1.02
12912,1.04
12936,1.04
12960,1.04
12984,1.05
13008,1.05
13032,1.07
13056,1.08
13080,1.07
13104,1.34
13128,1.05
13152,1.05
13176,0.96
13200,1.16
13224,1.15
13248,1.03
13272,1.07
13296,1.06
13320,1.05
13344,1.04
13368,1.02
13392,1.03
13416,1.05
13440,1.05
13464,1.05
13488,1.04
13512,1.03
13536,1.04
13560,1.03
13584,1.04
13608,1.04
13632,1.05
13656,1.04
13680,1.03
13704,1.05
13728,1.04
13752,1.03
13776,1.04
13800,1.04
13824,1.04
13851,1.04
13875,1.04
13899,1.04
13923,1.04
13947,1.04
13971,1.05
13995,1.03
14019,1.04
14043,1.04
14067,1.04
14112,1.04
14136,1.03
14160,1.05
14184,1.04
14208,1.04
14232,1.04
14256,1.04
14280,1.04
14304,1.04
14328,1.04
14352,1.04
14376,1.03
14400,1.05
14424,1.04
14448,1.03
14472,1.03
14496,1.05
14520,1.05
14544,1.03
14568,1.04
14592,1.05
14616,1.05
14640,1.04
14664,1.04
14688,1.04
14712,1.04
14736,1.04
14760,1.05
14784,1.03
14808,1.03
14832,1.04
14856,1.04
14880,1.04
14907,1.04
14931,1.05
14955,1.04
14979,1.04
15003,1.05
15027,1.04
15051,1.04
15075,1.04
15099,1.04
15123,1.05
15147,1.04
15171,1.04
15195,1.04
15219,1.04
15243,1.05
15267,1.03
15291,1.05
15315,1.04
15339,1.03
15363,1.04
15387,1.05
15411,1.04
15435,1.04
15459,1.04
15483,1.04
15507,1.04
15531,1.04
15555,1.03
15579,1.03
15625,1.04
15649,1.04
15673,1.03
15697,1.04
15721,1.05
15745,1.04
15769,1.04
15793,1.05
15817,1.04
15841,1.04
15865,1.04
15889,1.04
15913,1.05
15940,1.04
15964,1.03
15988,1.04
16012,1.04
16036,1.04
16060,1.05
16084,1.03
16108,1.03
16132,1.06
16156,1.03
16180,1.06
16204,1.03
16228,1.04
16252,1.01
16276,1.04
16300,1.05
16324,1.05
16348,1.05
16372,1.04
16396,1.03
16420,1.04
16444,1.03
16468,1.03
16492,1.04
16516,1.03
16540,1.05
16564,1.04
16588,1.04
16612,1.04
16636,1.05
16660,1.04
16684,1.05
16708,1.07
16732,1.04
16756,1.05
16780,1.05
16804,1.04
16828,1.05
16852,1.07
16876,1.07
16900,1.07
16924,1.13
16948,1.07
16985,1.09
17009,1.07
17033,1.13
17057,1.16
17081,1.19
17125,1.16
17149,1.12
17173,1.18
17197,1.23
17221,1.22
17245,1.23
17269,1.22
17293,1.22
17317,1.24
17341,1.21
17365,1.13
17389,1.10
17413,1.06
17437,1.06
17461,1.06
17485,1.02
17509,1.00
17533,0.98
17557,0.95
17581,0.96
17605,0.94
17629,0.89
17653,0.93
17677,0.91
17701,0.95
17725,0.98
17749,0.96
17773,0.93
17797,0.93
17821,0.98
17845,1.00
17869,0.99
17893,1.04
17917,1.02
17941,1.05
17965,1.05
17989,1.01
18013,1.01
18040,1.04
18064,1.05
18088,1.05
18112,1.04
18136,1.03
18160,1.05
18184,1.06
18208,1.04
18232,1.02
18256,1.05
18280,1.06
18304,1.05
18328,1.06
18352,1.06
18376,1.06
18400,1.05
18424,1.04
18448,1.04
18472,1.00
18496,1.02
18520,1.03
18544,1.03
18568,1.00
18592,1.02
18636,1.05
18660,1.03
18684,1.01
18708,1.00
18732,1.01
18756,0.99
18780,0.99
18804,1.03
18828,1.05
18852,1.06
18876,0.95
18900,0.88
18924,0.82
18948,0.79
18972,0.75
18996,0.69
19020,0.66
19044,0.65
19071,0.49
19095,0.34
19119,0.69
19143,1.16
19167,1.45
19191,1.45
19215,1.25
19239,1.36
19263,1.43
19287,1.56
19311,1.56
19335,1.45
19359,1.40
19383,1.33
19407,1.30
19431,1.32
19455,1.25
19479,1.23
19503,1.16
19527,1.11
19551,1.10
19575,1.06
19599,1.03
19623,1.03
19647,1.05
19671,1.07
19695,1.03
19719,1.01
19743,0.99
19767,1.01
19791,1.04
19815,1.05
19839,1.06
19863,1.08
19887,1.04
19911,1.04
19935,1.10
19959,1.11
19983,1.07
20007,1.04
20031,1.06
20055,1.03
20079,1.01
20106,0.96
20151,0.88
20175,0.88
20199,0.86
20223,0.67
20247,0.53
20271,0.29
20295,0.15
20319,0.13
20343,0.13
20367,14.19
20391,1.19
20415,0.37
20439,3.40
20463,2.10
20487,1.52
20511,1.38
20535,1.15
20559,0.98
20583,0.87
20607,0.92
20631,1.03
20655,1.10
20679,1.11
20703,1.06
20727,1.01
20751,0.99
20775,1.02
20799,1.05
20823,1.07
20847,1.06
20871,1.03
20895,1.01
20919,1.04
20943,1.04
20967,1.04
20991,1.01
21015,1.03
21039,1.03
21063,1.04
21087,1.05
21111,1.04
21135,1.03
21162,1.06
21186,1.10
21210,1.05
21234,1.03
21258,1.03
21282,1.06
21306,1.07
21330,1.01
21354,1.05
21378,1.05
21402,1.07
21426,1.04
21450,1.00
21474,1.02
21498,1.01
21522,1.04
21546,1.05
21570,1.07
21594,1.06
21618,1.03
21662,1.04
21686,1.04
21710,1.04
21734,1.04
21758,1.05
21782,1.04
21806,1.04
21830,1.04
21854,1.04
21878,1.04
21902,1.04
21926,1.03
21950,1.04
21974,1.04
21998,1.04
22022,1.04
22046,1.04
22070,1.04
22094,1.04
22118,1.03
22142,1.04
22166,1.03
22193,1.04
22217,1.05
22241,1.04
22265,1.03
22289,1.03
22313,1.04
22337,1.04
22361,1.04
22385,1.04
22409,1.04
22433,1.04
22457,1.03
22481,1.03
22505,1.04
22529,1.03
22553,1.04
22577,1.05
22601,1.05
22625,1.04
22649,1.04
22673,1.03
22697,1.05
22721,1.04
22745,1.04
22769,1.04
22793,1.03
22817,1.04
22841,1.05
22865,1.04
22889,1.04
22913,1.04
22937,1.04
22961,1.04
22985,1.03
23009,1.04
23033,1.04
23057,1.03
23081,1.04
23105,1.03
23150,1.04
23174,1.04
23198,1.04
23222,1.04
23249,1.03
23273,1.05
23297,1.04
23321,1.03
23345,1.04
23369,1.04
23393,1.03
23417,1.04
23441,1.04
23465,1.04
23489,1.04
